Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,27pF,C_0402_HandSolder,179.15,-107.12,90,top
C3,100nF,C_0402_HandSolder,162.1,-105.573431,180,top
C4,100nF,C_0402_HandSolder,166.15,-105.75,0,top
C5,100nF,C_0402_HandSolder,166.1,-117.6,-90,top
C6,1uF,C_0402_HandSolder,161.55,-115.6,180,top
C7,1uF,C_0402_HandSolder,161.55,-114.55,180,top
C8,100nF,C_0402_HandSolder,161.55,-113.5,180,top
C9,100nF,C_0402_HandSolder,171.05,-115.7,0,top
C10,100nF,C_0402_HandSolder,159.6,-108.3,135,top
C11,100nF,C_0402_HandSolder,173.7,-109.6,0,top
C12,1uF,C_0402_HandSolder,162,-59,0,top
C13,1uF,C_0402_HandSolder,162,-64.9,180,top
C14,100nF,C_0402_HandSolder,162.4825,-126.4,180,top
D1,D,D_SOD-123,44.975,-68.45,180,top
D2,D,D_SOD-123,45.000001,-85.45,180,top
D3,D,D_SOD-123,44.999999,-102.45,180,top
D4,D,D_SOD-123,45.05,-123.75,180,top
D5,D,D_SOD-123,63,-68.45,180,top
D6,D,D_SOD-123,62.999999,-85.45,180,top
D7,D,D_SOD-123,62.999999,-102.45,180,top
D8,D,D_SOD-123,63.05,-123.7,180,top
D9,D,D_SOD-123,81,-123.7,180,top
D10,D,D_SOD-123,81.049999,-68.45,180,top
D11,D,D_SOD-123,81.05,-85.45,180,top
D12,D,D_SOD-123,80.999999,-102.45,180,top
D13,D,D_SOD-123,99,-68.45,180,top
D14,D,D_SOD-123,98.999999,-85.45,180,top
D15,D,D_SOD-123,98.999999,-102.45,180,top
D16,D,D_SOD-123,117,-68.45,180,top
D17,D,D_SOD-123,116.974999,-85.45,180,top
D18,D,D_SOD-123,116.999999,-102.45,180,top
D19,D,D_SOD-123,108,-123.7,180,top
D20,D,D_SOD-123,135,-70.55,180,top
D21,D,D_SOD-123,135,-87.65,180,top
D22,D,D_SOD-123,135,-104.55,180,top
D23,D,D_SOD-123,134.9,-125.85,180,top
D24,D,D_SOD-123,153,-70.65,180,top
D25,D,D_SOD-123,152.95,-87.55,180,top
D26,D,D_SOD-123,153,-104.55,180,top
D27,D,D_SOD-123,153,-125.85,180,top
D28,D,D_SOD-123,171,-68.45,180,top
D29,D,D_SOD-123,171,-85.45,180,top
D30,D,D_SOD-123,171.05,-102.45,180,top
D32,D,D_SOD-123,189,-68.45,180,top
D33,D,D_SOD-123,189,-85.45,180,top
D34,D,D_SOD-123,189.05,-102.45,180,top
D35,D,D_SOD-123,207,-68.45,180,top
D36,D,D_SOD-123,207,-85.45,180,top
D37,D,D_SOD-123,207.05,-102.45,180,top
D38,D,D_SOD-123,207,-123.7,180,top
D39,D,D_SOD-123,225,-68.45,180,top
D40,D,D_SOD-123,224.95,-85.45,180,top
D41,D,D_SOD-123,225,-102.45,180,top
D42,D,D_SOD-123,225,-123.7,180,top
D43,D,D_SOD-123,243.05,-68.45,180,top
D44,D,D_SOD-123,243.05,-85.45,180,top
D45,D,D_SOD-123,243,-102.45,180,top
D46,D,D_SOD-123,243,-123.7,180,top
D48,D,D_SOD-123,180,-123.7,180,top
R1,1k,R_0402_HandSolder,162.1,-104.473431,0,top
R2,1k,R_0402_HandSolder,180.25,-107.15,-90,top
R3,27R,R_0402_HandSolder,163.5,-117.8,180,top
R4,27R,R_0402_HandSolder,163.5,-116.75,180,top
R5,1k,R_0402_HandSolder,170.2975,-117.9,0,top
R6,5.1k,R_0402_HandSolder,145,-62.35,-90,top
R7,5.1k,R_0402_HandSolder,143.1,-62.4,-90,top
R8,10k,R_0402_HandSolder,170.2975,-116.8,0,top
U1,RP2040,RP2040-QFN-56,166.8,-110.9,180,top
U2,XC6206PxxxMR,SOT-23,162,-61.937501,90,top
U3,USBLC6-2SC6,SOT-23-6,144,-66.83125,-90,top
U4,W25Q128JVS,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,166.6525,-122.695,180,top
Y1,Crystal_GND24_Small,Crystal_SMD_2520-4Pin_2.5x2.0mm,176.625,-107.7,0,top
